pH,Chlorine_Level,Turbidity,NPK_Ratio,Conductivity,Industrial_Waste,Lead_Concentration,Flow_Rate,Water_Pressure,Road_Segment_ID,Terminal_Point_A,Terminal_Point_B,Road_Level,Capacity,Speed_Limit,Pipe_Diameter,Pipe_Length,Pipe_Age,Temperature,Humidity,Barometric_Pressure,Wind_Speed,Weather,Toxication_Level,Water_Quality_Label
7.25,1.99,3.65,6.56,483.42,84.72,0.0371,18.11,85.45,1162,32,80,Collector,1409,50,1164.21,923.99,82,11.6,52.28,1042.23,21.82,Sunny,82.52,Unsafe
8.4,1.8,0.92,4.86,187.49,49.45,0.0441,167.42,31.62,1480,63,66,Local,1770,60,612.28,29.21,54,35.85,61.76,1042.62,19.25,Stormy,88.81,Unsafe
7.96,1.05,1.73,9.66,233.22,19.55,0.0232,57.37,95.72,1637,10,87,Local,2140,60,659.66,16.99,8,1.54,40.8,999.76,10.83,Rainy,49.3,Safe
7.7,3.11,3.32,2.58,311.97,73.66,0.0145,63.95,87.46,1564,12,41,Local,1866,70,867.17,970.81,84,21.73,67.03,996.67,39.31,Sunny,16.3,Safe
6.81,2.49,2.41,6.08,345.3,41.87,0.0159,52.99,93.51,1945,87,39,Collector,1982,50,518.91,407.85,78,8.74,69.88,1029.45,37.38,Rainy,96.48,Unsafe
6.81,4.36,3.69,7.15,401.28,59.46,0.0348,169.62,42.85,1700,91,96,Collector,1244,50,371.3,255.37,21,24.58,49.68,1019.53,7.13,Stormy,94.82,Unsafe
6.62,0.35,4.81,8.34,420.42,10.73,0.0284,195.99,46.85,1997,1,36,Collector,1067,60,386.7,283.52,64,44.98,26.11,1022.14,26.37,Rainy,22.16,Safe
8.23,3.29,0.58,4.37,710.79,63.16,0.0243,153.49,57.59,1731,97,93,Collector,1003,40,450.51,498.67,72,35.47,35.17,1047.68,12.39,Sunny,28.43,Safe
7.7,3.86,3.55,7.03,788.88,37.36,0.0101,166.48,37.94,1875,19,8,Arterial,2170,70,713.18,895.82,77,5.69,40.05,1041.1,35.47,Stormy,9.66,Safe
7.92,3.85,1.15,3.38,497.87,33.42,0.0438,127.9,57.23,1410,23,43,Local,2386,40,1005.31,749.45,26,41.29,52.93,1012.6,20.91,Sunny,79.6,Unsafe
6.54,4.45,2.07,4.64,1365.58,97.99,0.0391,110.47,20.74,1658,11,15,Local,2487,60,329.11,181.49,73,12.2,93.86,1031.51,4.57,Cloudy,67.21,Unsafe
8.44,3.7,0.16,9.01,852.05,43.24,0.007,147.1,90.2,1556,49,78,Collector,2696,40,721.57,348.76,86,27.67,12.32,1021.52,23.09,Sunny,0.08,Safe
8.16,4.65,0.68,9.52,1191.84,67.8,0.0184,16.79,32.98,1374,68,54,Local,2648,50,913.18,430.02,82,42.14,28.1,1045.5,24.07,Rainy,2.88,Safe
6.92,1.8,1.6,7.33,1390.14,62.77,0.0271,21.67,60.07,1345,67,6,Arterial,2584,70,1193.72,989.19,31,37.81,11.05,1006.33,19.41,Cloudy,11.41,Safe
6.86,2.62,1.71,4.06,286.55,10.43,0.0227,140.58,94.31,1009,75,51,Collector,2280,60,1093.87,781.2,94,17.6,66.57,1025.86,44.48,Rainy,92.52,Unsafe
